NAME,B01001_001E,B01001_002E,B01001_026E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B11001_001E,B11001_002E,B15003_001E,B15003_017E,B15003_021E,B15003_023E,B19013_001E,B19001_002E,B19001_017E,B19301_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B12001_001E,B12001_003E,B12001_009E,B12001_011E,B16001_001E,B16001_002E,B16001_003E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,B25035_001E,B25071_001E,B27001_001E,B27001_005E,B27001_008E,B08006_001E,B08006_002E,B08013_001E,B28002_001E,B28002_002E,B28002_004E,B19052_001E,B19083_001E,state,county
Area name,Total population,Male population,Female population,Median age,White alone,Black or African American alone,Asian alone,Total households,Family households,Population 25 years and over,High school graduate,Bachelor’s degree,Graduate or professional degree,Median household income,"Households earning less than $10,000","Households earning $200,000 or more",Per capita income,Unemployed individuals,Labor force,Population below poverty level,Total population for poverty status,Individuals with a hearing difficulty,Individuals with a vision difficulty,Individuals with a cognitive difficulty,Individuals with an ambulatory difficulty,Population 15 years and over,Now married,Divorced,Widowed,Population 5 years and over,English only,Spanish-speaking population,Median home value,Median gross rent,Owner-occupied housing units,Renter-occupied housing units,Median year housing unit was built,Monthly housing costs as a percentage of household income,Total health insurance coverage status,Male with public health insurance,Female with private health insurance,Total workers 16 years and over,"Car, truck, or van - drove alone",Travel time to work (minutes),Total households,Households with internet access,Households with broadband internet,Household income from Social Security,Gini index of income inequality,,
"Fayette County, Illinois",21565,11469,10096,41.9,20245,1007,116,7737,5297,15303,5019,1523,420,46650,502,146,23194,525,9285,3421,19855,0,120,190,856,17915,3525,224,8324,,,,88300,612,6228,1509,1965,26.8,19948,72,107,8633,8041,187345,7737,5629,5578,7737,0.4373,17,051
"Logan County, Illinois",29003,14298,14705,40.1,25667,2003,218,10797,6770,20373,5818,1913,975,57308,580,403,27546,738,13164,2323,24979,0,249,371,682,24443,4079,356,12478,,,,103200,689,7854,2943,1960,22.6,25735,42,45,12211,11094,254725,10797,8370,8319,10797,0.4201,17,107
"Saline County, Illinois",23994,11807,12187,42.2,22234,632,178,9972,6654,17113,3828,2326,884,44090,939,266,25342,816,10718,4936,23435,11,317,301,1051,19736,2725,230,10142,,,,73800,622,7432,2540,1967,28.5,23540,39,42,9631,9028,219665,9972,7223,7141,9972,0.4692,17,165
"Lake County, Illinois",701473,350466,351007,38.4,531609,47385,54157,246122,180068,457676,81992,29020,62289,89427,9352,41004,45766,19357,371283,54273,684107,149,2997,4234,11029,562653,95292,5547,283051,,,,265100,1197,179679,66443,1981,29.1,685292,833,2028,355918,302974,10091775,246122,221633,220965,246122,0.4847,17,097
"Massac County, Illinois",14219,6714,7505,43.5,12956,830,29,5822,3906,10021,2919,1216,326,47481,397,68,23539,259,5895,2331,13918,0,53,134,640,11531,1389,166,6065,,,,83600,692,4395,1427,1975,30.9,13979,0,30,5602,5276,124785,5822,3979,3922,5822,0.4097,17,127
"Cass County, Illinois",12493,6236,6257,40.0,11058,652,45,5043,3336,8503,3139,601,316,52373,247,120,26992,414,6392,1822,12331,0,36,65,274,9966,1534,107,5040,,,,80800,598,3762,1281,1962,22.7,12358,25,53,5870,5413,116355,5043,3869,3843,5043,0.4227,17,017
"Huntington County, Indiana",36359,17919,18440,40.7,34850,357,263,14742,9907,25019,8871,2400,1487,53632,676,292,26502,532,19118,3809,34942,32,153,148,1203,29885,4176,321,15222,,,,107200,703,11125,3617,1957,27.7,35928,26,156,18229,16962,378335,14742,11726,11618,14742,0.3876,18,069
"White County, Indiana",24149,12063,12086,42.0,21955,123,55,9879,6805,16625,5865,1560,745,54576,353,189,27461,465,11748,2198,23801,6,212,165,722,19452,2429,326,9781,,,,113500,706,7661,2218,1971,24.7,23866,92,166,10964,10170,267605,9879,8095,8019,9879,0.3940,18,181
"Jay County, Indiana",20840,10452,10388,39.7,20212,76,157,8174,5354,13745,5967,1278,484,47658,558,95,23443,376,9992,2887,20475,0,199,227,771,16497,2565,294,8370,,,,91400,677,5968,2206,1959,23.5,20638,19,150,9400,8426,183430,8174,5660,5563,8174,0.4177,18,075
"Shelby County, Indiana",44438,21874,22564,40.8,42110,519,250,17823,11945,30884,11044,2450,1551,60404,845,695,29583,820,23047,4903,43556,0,238,253,1076,36070,4460,745,18440,,,,133200,801,13064,4759,1968,26.5,43731,111,105,21938,20665,518535,17823,13881,13797,17823,0.4057,18,145
"Sullivan County, Indiana",20730,11076,9654,41.0,19254,830,106,7644,5316,14914,5339,1749,558,50245,424,106,24356,440,9031,2209,18405,0,123,255,661,17380,3089,229,8015,,,,86000,667,5685,1959,1971,29.1,18607,9,260,8416,8153,193910,7644,5422,5369,7644,0.4296,18,153
"Tippecanoe County, Indiana",191553,97798,93755,28.2,156081,10168,15564,70526,38810,105826,22706,7961,11913,53130,6575,2997,27451,4129,101058,32662,174497,73,993,2214,3146,158503,40891,1794,77457,,,,153000,851,38848,31678,1981,32.2,189817,305,803,93460,79439,1608560,70526,59252,59091,70526,0.4703,18,157
"Hamilton County, Indiana",323117,157702,165415,37.1,280363,12764,19336,119789,88340,209983,27735,14146,32084,98173,2656,19432,49287,4891,177633,14700,321126,38,1682,1590,3962,250199,32340,1792,129614,,,,263300,1176,92174,27615,1998,24.9,321620,419,1033,170914,152443,3949790,119789,113174,112901,119789,0.4444,18,057
"Bartholomew County, Indiana",82481,41170,41311,37.8,70299,1549,6104,31452,20689,55986,14000,4820,6598,63431,1665,1595,31774,1768,41919,10859,81340,0,399,1006,1952,65985,10391,990,33212,,,,153500,937,22470,8982,1976,23.7,81610,310,619,39409,37001,748350,31452,25768,25591,31452,0.4298,18,005
"Fulton County, Indiana",20096,9903,10193,41.3,18864,186,90,7799,5000,13842,4770,1051,709,52034,489,109,26427,414,9744,2442,19688,0,159,110,610,16166,2116,287,8248,,,,103600,690,5822,1977,1964,28.1,19898,35,233,8981,8422,198270,7799,6009,5943,7799,0.4239,18,049
"Noble County, Indiana",47506,23872,23634,38.7,45774,228,314,18276,12569,31520,10936,2867,947,56789,632,433,26832,943,23900,3453,46413,11,332,356,1667,37608,5298,517,18856,,,,125800,712,14002,4274,1975,24.8,46734,212,474,22584,21112,486470,18276,14770,14572,18276,0.4006,18,113
"Clark County, Indiana",116507,56860,59647,39.1,102002,7854,1263,44200,28767,80741,22454,8683,4164,55630,1904,1273,29062,2984,61202,11544,114572,49,555,687,3030,94474,14363,1557,48856,,,,142800,845,31442,12758,1977,28.6,115007,114,657,57330,53507,1296430,44200,34100,33952,44200,0.4229,18,019
"Hendricks County, Indiana",163799,81767,82032,37.7,142553,11507,4773,59015,43470,108921,25940,10052,10482,81933,1477,3602,36569,3239,89848,8021,160276,46,892,724,2866,129913,18707,1837,65502,,,,191700,1076,46306,12709,1995,26.0,161237,277,825,85437,78558,2159130,59015,52858,52650,59015,0.3918,18,063
"Grant County, Indiana",66452,31695,34757,40.3,58360,4811,653,26372,16914,44057,14390,3598,2518,44356,1788,382,23046,2250,31332,10953,60861,21,808,546,2591,55037,8765,813,29063,,,,92700,700,18046,8326,1964,28.5,65606,67,277,28501,24644,513720,26372,19162,18967,26372,0.4197,18,053
"Jackson County, Indiana",44025,21842,22183,38.5,40013,473,983,16753,11744,29972,10326,2396,1391,51250,850,497,25840,939,21633,6268,42849,22,276,399,1344,35111,4942,591,17881,,,,125300,767,12072,4681,1976,27.5,43340,69,168,20463,19184,422280,16753,12456,12374,16753,0.4209,18,071
"Owen County, Indiana",20835,10636,10199,45.2,20191,98,103,8776,5823,14959,5259,994,621,49543,422,115,25209,555,10238,3154,20489,0,102,222,842,17265,2274,263,8449,,,,117600,696,6950,1826,1979,28.5,20684,72,212,9507,8813,287060,8776,6469,6420,8776,0.4043,18,119
"Whitley County, Indiana",33730,16755,16975,41.8,32666,137,145,13742,9606,23372,7838,2807,1124,61741,374,477,31843,644,17848,3213,33274,0,177,273,1045,27287,3425,414,13834,,,,143100,722,11293,2449,1975,25.4,33351,121,159,16968,15897,390065,13742,11287,11146,13742,0.4110,18,183
"Clinton County, Indiana",32273,16067,16206,37.8,29558,268,113,12033,8187,21158,7904,1612,954,54286,409,177,24489,611,15794,3916,31415,0,273,332,1001,25248,3750,418,12774,,,,111500,726,8492,3541,1959,26.8,31718,81,256,14633,13261,310895,12033,9250,9178,12033,0.3786,18,023
"Union County, Indiana",7113,3480,3633,43.5,6898,15,145,2823,1868,5038,1960,289,265,50375,121,39,25661,50,3445,513,6953,0,40,21,211,5870,800,61,3007,,,,116300,797,2032,791,1972,26.7,7057,0,37,3341,3179,82795,2823,1983,1967,2823,0.3826,18,161
"Dearborn County, Indiana",49479,24658,24821,42.5,48102,431,279,18870,13710,34269,11794,3058,1984,68658,1016,924,30800,956,25713,4446,48744,0,292,245,1339,40363,5510,655,20432,,,,170400,744,15027,3843,1979,29.3,48946,0,88,24455,22937,693495,18870,15950,15594,18870,0.4032,18,029
"Lawrence County, Indiana",45548,22485,23063,43.1,43954,180,223,18781,12671,32163,11251,3449,1599,53610,1110,359,26603,958,21872,5549,44695,0,447,417,1679,37374,4570,638,19142,,,,117400,686,14457,4324,1976,26.6,44932,34,250,20717,19585,475555,18781,14281,14232,18781,0.4055,18,093
"Perry County, Indiana",19102,10191,8911,42.0,18091,577,97,7615,4965,13615,4764,1388,717,52348,403,173,25707,263,8635,2067,17325,0,137,115,509,15686,2554,207,7255,,,,111500,571,5920,1695,1970,25.3,17487,30,38,8258,7863,192515,7615,5712,5629,7615,0.3985,18,123
"Posey County, Indiana",25560,12744,12816,42.6,24599,458,84,10155,7259,17933,6130,2001,915,64196,540,295,32091,533,12934,2255,25248,0,136,129,574,20961,2583,283,10556,,,,144200,688,8299,1856,1974,27.7,25318,0,38,12215,11426,269445,10155,8026,7993,10155,0.4124,18,129
"Carroll County, Indiana",20074,10085,9989,42.9,19284,234,41,8002,5413,14011,4923,1245,483,54806,242,209,29366,300,9667,1912,19859,0,176,201,622,16483,2227,224,8254,,,,131700,691,6457,1545,1962,20.6,19962,88,93,9259,8797,258930,8002,6275,6182,8002,0.4112,18,015
"Fountain County, Indiana",16430,8254,8176,43.4,16023,37,72,6974,4694,11517,4290,1041,481,52874,297,157,28058,345,7946,1802,16203,0,199,158,578,13482,1767,261,6842,,,,103000,674,5312,1662,1962,25.2,16279,52,42,7457,6763,179595,6974,5506,5503,6974,0.4318,18,045
"Starke County, Indiana",22952,11422,11530,41.5,22303,198,60,8549,5835,15797,5570,1358,483,51190,638,134,24673,509,10260,3385,22825,0,113,185,790,18566,2791,364,9413,,,,115500,697,6852,1697,1973,26.8,22947,12,57,9581,9150,274810,8549,6432,6317,8549,0.4314,18,149
"Greene County, Indiana",32159,15971,16188,43.1,31405,127,64,12781,8648,22764,7896,2430,897,51613,717,225,25453,719,15052,4527,31730,43,223,229,1115,26451,3224,468,13312,,,,97600,636,10175,2606,1976,27.6,31864,90,156,14111,13502,395630,12781,9281,9194,12781,0.4064,18,055
"Benton County, Iowa",25636,12788,12848,42.6,24852,143,85,10306,7321,17751,5844,2510,903,67729,485,436,33301,409,13678,2216,25156,0,124,190,375,20707,2593,251,10413,,,,157200,640,8538,1768,1965,25.3,25390,9,31,13139,12050,307570,10306,8343,8221,10306,0.4174,19,011
"Dubuque County, Iowa",96982,47818,49164,38.6,89785,3440,1050,38210,24858,64854,18975,6287,5181,63031,2173,1867,32905,2036,52569,10646,93255,18,385,807,1735,78624,13093,995,40140,,,,166800,783,28023,10187,1969,26.4,95694,7,272,49887,45337,801105,38210,31779,31541,38210,0.4478,19,061
"Pocahontas County, Iowa",6797,3318,3479,47.6,6527,40,91,3215,1969,4877,1748,694,95,52448,113,92,30013,112,3434,713,6641,4,86,56,199,5602,663,129,2868,,,,76000,597,2484,731,1950,21.8,6647,8,0,3296,2779,54320,3215,2576,2531,3215,0.4083,19,151
"Van Buren County, Iowa",7150,3665,3485,45.4,6960,48,37,2894,1924,5018,1695,602,222,48591,165,70,27252,168,3219,906,7066,0,39,28,211,5798,724,127,2862,,,,92800,571,2353,541,1969,24.8,7091,60,140,2979,2506,62605,2894,1979,1948,2894,0.4593,19,177
"Adams County, Iowa",3670,1830,1840,47.3,3620,2,9,1598,1033,2662,930,425,67,49255,96,51,28440,68,1742,508,3608,0,0,36,89,3023,336,66,1521,,,,87500,549,1306,292,1944,20.6,3608,28,5,1665,1472,33035,1598,1221,1206,1598,0.4291,19,003
"Audubon County, Iowa",5571,2770,2801,48.1,5401,11,15,2649,1596,4030,1375,483,170,52055,120,68,30344,52,2958,632,5417,0,15,18,132,4614,510,101,2368,,,,79500,582,2034,615,1950,22.3,5446,0,9,2869,2585,50385,2649,2005,1996,2649,0.4013,19,009
"Davis County, Iowa",8920,4403,4517,36.8,8710,4,57,3176,2285,5592,1559,705,209,63404,123,185,29387,131,4333,868,8783,0,52,46,119,6716,924,72,3376,,,,115000,631,2706,470,1964,25.1,8811,220,357,4072,3420,85695,3176,2061,2050,3176,0.4315,19,051
"Ida County, Iowa",6901,3442,3459,43.7,6713,47,16,3011,1889,4793,1649,684,138,58427,172,137,33789,91,3543,648,6741,0,25,41,124,5546,705,125,2813,,,,100900,532,2275,736,1951,20.9,6779,0,8,3365,2999,62310,3011,2372,2323,3011,0.4565,19,093
"Monroe County, Iowa",7807,3886,3921,43.0,7591,2,8,3294,2170,5371,1861,437,109,58269,226,61,28999,155,3940,809,7681,0,34,8,283,6299,772,173,3167,,,,100200,566,2632,662,1973,27.7,7681,21,11,3735,3406,77755,3294,2438,2398,3294,0.4093,19,135
"Sioux County, Iowa",34827,17485,17342,33.4,32930,122,257,12248,9028,20725,5734,2709,1314,69844,403,481,29360,518,19250,2047,32514,9,255,175,349,26942,4227,241,13480,,,,167500,726,9840,2408,1971,24.0,34404,52,106,18368,15539,212480,12248,10803,10725,12248,0.3859,19,167
"Calhoun County, Iowa",9744,5057,4687,44.6,9317,150,35,4146,2672,6997,2241,942,326,52323,249,161,28434,102,4416,1133,9016,0,61,15,212,8024,1100,169,3873,,,,82000,588,3268,878,1956,23.6,9000,8,27,4285,3867,76155,4146,3348,3308,4146,0.4332,19,025
"Cerro Gordo County, Iowa",42834,20905,21929,44.3,40288,747,491,19241,11457,30568,7818,4659,1495,53963,986,722,32757,917,23098,4252,41906,87,174,286,1246,35523,5470,673,18337,,,,128600,707,13297,5944,1957,26.4,42212,36,133,21873,19522,351140,19241,15280,15201,19241,0.4474,19,033
"Hardin County, Iowa",17061,8522,8539,44.7,16212,221,13,7148,4424,12155,3809,1699,626,54196,438,179,28770,153,8644,1564,16209,0,118,124,271,14316,2283,280,7188,,,,94300,639,5353,1795,1953,24.3,16514,7,25,8343,7460,146685,7148,5283,5197,7148,0.4164,19,083
"Lucas County, Iowa",8583,4317,4266,44.2,8505,8,0,3701,2490,5956,2112,626,125,55205,180,139,31069,145,4258,991,8399,0,62,41,298,6967,861,128,3511,,,,96400,664,2892,809,1964,25.7,8466,47,42,4044,3678,82575,3701,2851,2822,3701,0.4504,19,117
"Palo Alto County, Iowa",9003,4468,4535,41.4,8625,214,30,3702,2323,6145,1508,899,307,52932,134,109,28445,67,4648,554,8665,0,46,47,324,7196,1077,142,3648,,,,102200,580,2678,1024,1959,20.6,8808,45,36,4486,4049,65000,3702,2861,2859,3702,0.4108,19,147
"Henry County, Iowa",19941,10133,9808,39.7,18273,444,526,7743,5327,13657,4023,1831,592,53501,383,176,26408,538,9802,1972,18410,0,151,55,523,16353,2757,189,7988,,,,115500,694,5511,2232,1965,26.4,18803,0,12,9171,8335,161005,7743,6041,5948,7743,0.3934,19,087
"Jasper County, Iowa",36971,18879,18092,42.1,35232,738,172,14574,10036,26027,9117,3120,882,58952,771,409,28604,707,18734,3186,35254,17,150,250,825,30105,4419,371,14697,,,,134200,730,10858,3716,1964,24.7,35416,2,18,17771,15897,386110,14574,11775,11656,14574,0.3959,19,099
"Poweshiek County, Iowa",18388,8839,9549,40.5,17261,354,391,7767,4770,12033,4166,1151,874,53852,437,383,31827,398,10000,1654,16670,0,71,126,201,15432,2309,332,8048,,,,141100,719,5327,2440,1969,24.3,18108,24,78,9399,7618,172875,7767,6230,6067,7767,0.4595,19,157
"Clayton County, Iowa",17625,8946,8679,47.3,17173,170,79,7510,4645,12709,5016,1329,364,53152,307,209,28294,226,9313,1993,17292,14,99,85,452,14511,2186,227,7166,,,,121700,648,5597,1913,1959,23.1,17416,40,149,8936,7798,184015,7510,5601,5533,7510,0.4049,19,043
"Bremer County, Iowa",24864,12313,12551,39.8,23895,228,286,9676,6739,16428,4848,2295,1260,70395,380,298,32814,309,13467,1725,23348,0,158,136,408,20328,2785,302,10369,,,,165700,661,8000,1676,1966,25.1,24540,2,23,12980,11298,252815,9676,8147,8056,9676,0.3864,19,017
"Emmet County, Iowa",9438,4728,4710,42.9,8929,199,24,4036,2422,6476,1918,897,264,51563,221,131,28651,175,4896,1055,8497,0,79,11,275,7859,1245,101,3967,,,,89300,694,3152,884,1953,27.5,9170,25,8,4614,4030,79570,4036,3160,3132,4036,0.4333,19,063
"Hancock County, Iowa",10802,5418,5384,44.2,10430,172,53,4790,3307,7682,2527,1124,284,61761,335,135,30309,127,5774,1063,10601,0,127,46,246,8858,1108,142,4438,,,,102200,642,3692,1098,1961,24.7,10647,16,40,5627,4883,98025,4790,3737,3695,4790,0.4012,19,081
"Jackson County, Iowa",19401,9713,9688,44.3,18781,92,79,8239,5430,13639,5158,1448,647,55967,566,238,29660,364,9911,2500,19092,0,152,129,386,15869,2253,273,7938,,,,128200,624,6510,1729,1967,29.0,19200,11,35,9433,8461,215325,8239,6500,6417,8239,0.4186,19,097
"Lee County, Iowa",34227,17263,16964,43.1,32054,946,213,14233,9363,24245,8417,2987,855,49564,711,264,26710,1161,16715,4658,32845,18,211,408,974,28061,4323,411,13951,,,,94500,670,10591,3642,1956,27.1,33046,28,36,15414,14164,268570,14233,10806,10720,14233,0.4199,19,111
"Warren County, Iowa",50076,24497,25579,38.3,48092,260,348,19258,13881,32901,8830,3670,2162,77048,868,1288,36496,811,27172,3933,48163,22,255,297,1006,39877,5218,450,20578,,,,187200,807,15215,4043,1980,28.1,49498,10,41,25960,23693,602950,19258,16358,16258,19258,0.4182,19,181
"Mahaska County, Iowa",22164,11148,11016,39.3,21112,312,342,8927,5970,14944,5090,1538,831,54825,438,213,28174,446,11496,2949,21567,0,180,173,473,17720,2535,240,8921,,,,115300,652,6161,2766,1958,22.7,21937,27,38,10927,9623,193460,8927,7239,7193,8927,0.4444,19,123
"Clay County, Iowa",16211,7998,8213,42.9,15446,112,105,7212,4502,11372,3422,1246,474,50521,320,113,28747,356,8467,1723,15879,17,75,75,341,13150,1731,305,6718,,,,124100,700,4884,2328,1962,25.7,15975,0,56,7903,7035,124750,7212,5886,5862,7212,0.4135,19,041
"Delaware County, Iowa",17183,8626,8557,43.8,16760,36,63,6907,4883,11792,4686,1554,488,63750,346,188,32112,187,9445,1559,16983,0,84,62,343,13790,1743,308,6893,,,,136100,621,5827,1080,1966,22.3,17019,19,35,9157,8063,189160,6907,5520,5434,6907,0.4305,19,055
"Bacon County, Georgia",11201,5473,5728,36.7,8956,1701,19,3874,2706,7354,2590,603,207,37519,450,45,20326,194,4302,2486,10465,0,135,65,337,8806,1450,134,4537,,,,81100,526,2805,1069,1985,26.0,10465,68,157,4088,3825,83750,3874,2581,2572,3874,0.4620,13,005
"Brantley County, Georgia",18756,9198,9558,41.1,17610,661,201,6823,4578,12768,4429,1137,396,38857,566,28,20191,417,7186,3654,18606,0,80,499,748,15112,2180,325,7741,,,,72300,622,5482,1341,1991,28.9,18645,0,172,6714,6482,198110,6823,4574,4513,6823,0.4322,13,025
"Ben Hill County, Georgia",17033,8139,8894,39.9,10163,6236,117,6443,4019,11161,4407,1035,287,32229,916,39,17774,378,6508,4925,16630,0,226,130,547,13518,2524,247,7283,,,,83400,656,3791,2652,1981,27.3,16642,37,109,6133,5913,98315,6443,3600,3578,6443,0.4845,13,017
"Burke County, Georgia",22520,10715,11805,37.4,10988,10824,75,8193,5939,14728,4902,1431,463,44151,808,181,22173,426,9792,4928,22241,0,111,165,705,17630,2410,221,9378,,,,88700,616,5800,2393,1985,30.3,22284,18,215,9217,8602,245595,8193,5928,5927,8193,0.4470,13,033
"Catoosa County, Georgia",66700,32000,34700,40.4,61587,1497,878,24778,17428,45959,12248,4254,2091,56235,1195,778,27308,1359,32631,6516,65979,22,341,581,1720,54259,7022,731,28650,,,,144300,775,18339,6439,1988,26.5,66207,164,501,30824,29375,723075,24778,20754,20550,24778,0.4179,13,047
"Chattahoochee County, Georgia",10560,6875,3685,24.5,7136,2270,382,2570,1886,5122,1161,392,376,47096,186,50,23769,282,2501,1418,7161,3,70,6,115,8487,3564,93,2600,,,,71300,1192,632,1938,1973,28.5,6021,0,6,6353,3721,59585,2570,2007,2007,2570,0.4658,13,053
"Chattooga County, Georgia",24812,12858,11954,39.4,21271,2593,42,9260,5853,17107,4665,1083,435,36807,853,103,18715,543,9641,4415,22778,10,100,96,1017,20147,3703,323,9670,,,,72200,608,6315,2945,1980,26.6,23107,41,120,8827,8465,233395,9260,6466,6450,9260,0.4476,13,055
"Columbia County, Georgia",150705,73770,76935,36.9,111355,25127,5846,47215,35036,100048,19466,10591,9168,82339,1449,4049,34579,3271,72009,11173,149750,0,919,1627,3602,119095,18296,953,61309,,,,203400,1149,37541,9674,1996,25.6,146892,265,542,70996,67714,1825335,47215,39711,39645,47215,0.4004,13,073
"Decatur County, Georgia",26682,12823,13859,37.8,14002,11225,66,10084,7113,17744,5181,1683,720,41481,1185,235,21568,566,10883,6203,25476,4,267,198,816,21271,3745,326,11119,,,,110900,677,5797,4287,1983,25.7,25375,59,299,10207,9631,229930,10084,5623,5589,10084,0.4790,13,087
"Floyd County, Georgia",97369,47109,50260,38.3,76218,13576,1343,35679,24946,64816,17033,5195,3907,48336,2422,1197,25776,2385,44108,17122,93107,0,691,813,2672,78639,11965,1158,41174,,,,132400,762,21780,13899,1977,29.4,95194,152,445,41094,37223,923430,35679,27851,27753,35679,0.4750,13,115
"Forsyth County, Georgia",228383,113527,114856,38.5,180891,8013,29535,76753,62720,148069,19349,10343,22193,107218,2059,13918,43832,3862,119093,12937,227535,89,960,988,2606,176495,21238,1221,89646,,,,339700,1380,64504,12249,2002,27.0,227772,497,1442,113448,97366,3354460,76753,72106,72010,76753,0.4017,13,117
"Habersham County, Georgia",44626,21134,23492,39.7,38434,1435,864,15139,10440,30284,7446,1937,1690,50563,866,432,23046,596,19343,6381,42296,47,150,289,1118,36392,4920,881,19439,,,,150500,772,11848,3291,1990,25.0,42978,151,419,18317,17356,491640,15139,10804,10742,15139,0.4348,13,137
"Hart County, Georgia",25773,12664,13109,44.1,19950,4998,255,9853,6743,18641,5637,1442,674,43204,816,236,23181,587,10406,3750,24802,0,80,321,1114,21276,3087,371,10868,,,,137700,720,7370,2483,1985,31.3,24835,12,176,9752,9082,201120,9853,6978,6906,9853,0.4498,13,147
"Lowndes County, Georgia",115364,56144,59220,30.5,65740,42096,2011,41282,25905,68109,18151,6417,4743,42441,6048,1116,23348,3338,51172,27120,111150,0,689,913,2151,91873,19185,1008,47627,,,,140600,802,21597,19685,1990,30.5,109929,319,532,49990,46890,960525,41282,27398,27288,41282,0.5179,13,185
"McIntosh County, Georgia",14174,7128,7046,49.4,8826,5036,189,6042,4065,11057,3028,970,475,49504,383,100,26892,390,6459,2465,13967,0,66,79,866,12240,1680,219,6246,,,,128000,813,4819,1223,1993,32.1,14033,26,162,6060,5591,156950,6042,4366,4366,6042,0.4294,13,191
"Meriwether County, Georgia",21106,10234,10872,42.3,12102,8426,52,8051,5504,14815,4726,805,534,37121,916,150,21038,530,8601,4806,20980,102,138,328,907,17337,2936,233,9048,,,,103300,714,5514,2537,1984,31.7,21019,31,113,7915,7428,278730,8051,4907,4827,8051,0.4689,13,199
"Monroe County, Georgia",27171,13586,13585,42.9,20035,6304,247,9760,6179,19060,5023,1203,1496,54754,1041,789,33290,850,12181,3625,26089,0,142,279,680,22577,3521,427,11375,,,,166900,704,7725,2035,1990,28.5,26086,70,149,11073,10670,303805,9760,7609,7570,9760,0.5327,13,207
"Putnam County, Georgia",21691,10510,11181,46.2,14970,5689,133,8937,6282,15687,5195,1074,977,51606,653,406,31504,413,9914,3449,21416,0,194,185,679,18014,2391,177,9287,,,,160400,788,6883,2054,1993,30.2,21488,96,139,9349,8576,230625,8937,6774,6766,8937,0.4855,13,237
"Sumter County, Georgia",30064,14197,15867,35.7,12836,15712,410,11510,7256,19035,5522,1719,876,36681,1347,185,20654,1095,12908,7567,27926,0,204,191,502,24281,4841,395,12999,,,,95700,736,6389,5121,1982,31.5,29156,51,105,11483,10808,216545,11510,7808,7765,11510,0.4751,13,261
"Taliaferro County, Georgia",1611,793,818,44.2,547,1000,12,593,399,1235,504,56,17,37446,71,5,21416,47,645,340,1611,0,8,10,78,1426,346,11,682,,,,80200,547,409,184,1979,26.4,1609,0,8,600,553,18150,593,291,291,593,0.4557,13,265
"Warren County, Georgia",5297,2469,2828,45.1,1986,3237,32,2244,1456,3899,1355,270,119,37203,300,40,23448,107,2222,1402,5224,0,31,77,111,4360,747,72,2334,,,,66200,631,1494,750,1977,29.2,5225,8,8,2078,1937,55525,2244,1049,1044,2244,0.5202,13,301
"Wayne County, Iowa",6429,3168,3261,43.2,6250,19,6,2689,1705,4363,1674,515,131,44768,153,62,25628,48,2847,1086,6313,0,38,17,181,5075,590,117,2582,,,,81100,524,2181,508,1962,22.0,6334,34,80,2750,2404,59300,2689,1937,1916,2689,0.4417,19,185
"Scott County, Iowa",172446,84605,87841,38.3,147646,12954,4698,67021,42098,116769,29563,12214,10145,61183,3852,4043,33643,3383,87948,20389,168966,14,1108,1059,3866,138135,23257,1909,70853,,,,163200,793,46259,20762,1971,29.2,170759,187,394,83398,77037,1503145,67021,54814,54498,67021,0.4614,19,163
"Sherman County, Kansas",5938,3086,2852,39.3,5392,114,55,2544,1624,4095,1118,486,175,54754,92,35,27919,108,3039,660,5736,0,69,42,138,4762,754,145,2362,,,,111400,819,1702,842,1966,24.8,5861,37,107,2803,2410,30400,2544,2200,2149,2544,0.4057,20,181
"Thomas County, Kansas",7810,3773,4037,36.0,7328,177,72,3375,2261,5015,1103,748,219,60124,360,139,30442,96,4328,883,7380,0,70,136,151,6301,979,102,3323,,,,129700,638,2282,1093,1965,23.8,7701,16,52,4156,3671,46000,3375,2805,2763,3375,0.4769,20,193
"Morris County, Kansas",5566,2773,2793,46.6,5347,11,33,2280,1603,4041,1292,354,188,55658,115,106,29558,67,2786,493,5482,0,48,77,136,4564,555,95,2300,,,,103000,659,1832,448,1957,19.9,5482,22,14,2668,2408,57685,2280,1816,1803,2280,0.4262,20,127
"Rooks County, Kansas",5053,2428,2625,44.7,4860,89,4,2176,1347,3586,955,382,184,49415,112,29,26420,78,2543,380,4862,0,25,5,95,4135,523,107,2130,,,,78800,550,1675,501,1955,21.3,4867,8,5,2442,2204,34550,2176,1664,1654,2176,0.4012,20,163
"Clark County, Kansas",2026,1050,976,45.3,1917,10,23,873,552,1413,362,150,71,53348,50,17,28227,15,1003,213,1955,0,17,15,55,1595,142,36,789,,,,75900,589,649,224,1954,16.7,1963,0,16,961,789,13575,873,659,654,873,0.3879,20,025
"Harper County, Kansas",5594,2846,2748,42.4,5356,10,22,2265,1486,3868,1358,261,201,49865,171,52,24800,145,2516,874,5438,0,53,135,100,4434,574,105,2216,,,,74300,681,1577,688,1956,22.0,5442,34,74,2331,2114,37385,2265,1669,1653,2265,0.4152,20,077
