NAME,B01001_001E,B01001_002E,B01001_026E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B11001_001E,B11001_002E,B15003_001E,B15003_017E,B15003_021E,B15003_023E,B19013_001E,B19001_002E,B19001_017E,B19301_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B12001_001E,B12001_003E,B12001_009E,B12001_011E,B16001_001E,B16001_002E,B16001_003E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,B25035_001E,B25071_001E,B27001_001E,B27001_005E,B27001_008E,B08006_001E,B08006_002E,B08013_001E,B28002_001E,B28002_002E,B28002_004E,B19052_001E,B19083_001E,state,county
Area name,Total population,Male population,Female population,Median age,White alone,Black or African American alone,Asian alone,Total households,Family households,Population 25 years and over,High school graduate,Bachelor’s degree,Graduate or professional degree,Median household income,"Households earning less than $10,000","Households earning $200,000 or more",Per capita income,Unemployed individuals,Labor force,Population below poverty level,Total population for poverty status,Individuals with a hearing difficulty,Individuals with a vision difficulty,Individuals with a cognitive difficulty,Individuals with an ambulatory difficulty,Population 15 years and over,Now married,Divorced,Widowed,Population 5 years and over,English only,Spanish-speaking population,Median home value,Median gross rent,Owner-occupied housing units,Renter-occupied housing units,Median year housing unit was built,Monthly housing costs as a percentage of household income,Total health insurance coverage status,Male with public health insurance,Female with private health insurance,Total workers 16 years and over,"Car, truck, or van - drove alone",Travel time to work (minutes),Total households,Households with internet access,Households with broadband internet,Household income from Social Security,Gini index of income inequality,,
"Whatcom County, Washington",220821,109070,111751,37.3,184006,2204,9120,86523,52114,146274,28220,16333,12314,62984,5520,4221,32267,6452,113632,30432,215555,11,1158,2286,5313,184808,35162,1979,94324,,,,345700,1060,53580,32943,1984,32.4,219395,272,727,104723,88877,2160350,86523,76147,75993,86523,0.4406,53,073
"Grant County, West Virginia",11616,5800,5816,46.2,11262,181,23,4607,2884,8569,3328,609,364,42216,304,74,23351,359,5298,1249,11493,0,16,66,451,9827,1367,332,4899,,,,140000,557,3757,850,1981,24.9,11505,0,10,4875,4396,114850,4607,3338,3309,4607,0.4102,54,023
"Hampshire County, West Virginia",23309,11874,11435,47.2,22627,258,104,9288,6139,17132,6539,1194,784,47857,581,87,24259,517,9844,4044,22662,0,225,371,1135,19704,3026,422,9729,,,,153100,655,7087,2201,1985,28.0,22809,114,114,9074,8584,337925,9288,6649,6580,9288,0.4099,54,027
"Brooke County, West Virginia",22459,11089,11370,46.6,21620,392,108,9805,6277,16276,5752,1673,968,51496,682,112,26678,397,10463,2819,21393,0,179,210,922,19284,3012,363,9858,,,,93200,607,7469,2336,1960,25.1,22221,42,48,9849,8917,235790,9805,7359,7294,9805,0.3935,54,009
"Doddridge County, West Virginia",8560,4739,3821,45.3,8178,137,45,2685,1914,6360,2041,390,216,45545,99,84,24053,124,3196,1217,7731,0,9,103,355,7512,1481,181,3316,,,,117300,455,2354,331,1971,24.9,7759,6,39,3024,2773,103220,2685,1845,1801,2685,0.4353,54,017
"Hardy County, West Virginia",13805,7122,6683,45.7,12618,768,227,5674,4112,10104,3855,644,568,47438,208,157,27004,212,6579,1879,13655,19,51,110,365,11493,1461,147,5654,,,,137700,755,4189,1485,1983,22.2,13748,0,20,6288,5973,149145,5674,4533,4519,5674,0.4382,54,031
"Marion County, West Virginia",56355,27767,28588,41.1,52748,1975,268,22926,15017,38684,13371,3077,2311,50305,1601,600,26380,1577,26314,9003,55002,45,431,500,2172,46942,7559,731,24033,,,,116800,765,17108,5818,1959,28.4,55960,30,102,24369,22522,561085,22926,18816,18732,22926,0.4398,54,049
"Mingo County, West Virginia",24290,11851,12439,42.8,23258,568,19,10501,6950,17248,6198,1152,640,32764,1508,140,20060,1182,8282,6933,24145,0,215,448,2063,19881,2316,390,10317,,,,78100,574,7723,2778,1984,32.0,24207,0,3,6671,6183,191495,10501,7540,7525,10501,0.4816,54,059
"Hancock County, West Virginia",29383,14178,15205,46.8,27901,578,136,12678,7526,21762,8026,2199,934,45763,798,280,26435,1071,14213,4045,29052,0,99,166,1141,24828,3713,560,12976,,,,93000,658,9216,3462,1959,25.9,29125,5,86,12903,11967,300370,12678,9804,9784,12678,0.4278,54,029
"Marshall County, West Virginia",31308,15516,15792,45.7,30512,270,79,12308,8021,22996,8702,2041,1388,48557,926,343,26472,567,13325,4457,30718,39,115,228,1328,26245,3869,602,13281,,,,109300,630,9860,2448,1959,27.5,30934,95,163,12621,11999,329660,12308,8862,8856,12308,0.4504,54,051
"Nicholas County, West Virginia",25078,12358,12720,45.1,24351,214,56,10069,7064,18297,7799,1118,1046,40086,802,186,22335,715,10265,4562,24898,0,120,211,1103,20809,2549,442,10628,,,,95100,601,7998,2071,1977,31.7,24938,101,7,9420,8847,282465,10069,7924,7801,10069,0.4452,54,067
